File_Name,LOC:LATITUDE,LOC:LONGITUDE,LOC:Event Number,LOC:STATION,LOC:WATER DEPTH,ADM:MISSION,ADM:AGENCY,ADM:COUNTRY,ADM:Project,ADM:SCIENTIST,ADM:PLATFORM,FIL:TIME INCREMENT,FIL:DATA DESCRIPTION,FIL:FILE TYPE,INS:MODEL,INS:SERIAL NUMBER,INS:DATA DESCRIPTION,INS:INSTRUMENT TYPE,COM:
2024-017-0020,49  15.6120 N  ! (deg min),126  2.2800 W  ! (deg min),20,Herbert sill ,4,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0021,49  14.1780 N  ! (deg min),126  1.9320 W  ! (deg min),21,Herbert  Russell channel ,11.5,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0022,49  7.0380 N  ! (deg min),125  54.8760 W  ! (deg min),22,Tofino offshore ,10,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0023,49  9.0780 N  ! (deg min),125  54.9300 W  ! (deg min),23,Tofino mouth Templar channel ,24,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0024,49  24.5340 N  ! (deg min),125  54.4140 W  ! (deg min),24,Herbert head ,105,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0025,49  23.5500 N  ! (deg min),125  56.3160 W  ! (deg min),25,Herbert 1,124,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0026,49  21.6600 N  ! (deg min),125  56.7000 W  ! (deg min),26,Herbert 2,136,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0027,49  19.6920 N  ! (deg min),125  58.6620 W  ! (deg min),27,Herbert 3,127,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0029,49  18.7740 N  ! (deg min),126  0.7200 W  ! (deg min),29,Herbert Mouth ,114,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0030,49  17.7420 N  ! (deg min),126  2.1300 W  ! (deg min),30,Herbert Mouth South ,46,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0031,49  14.1360 N  ! (deg min),125  56.4420 W  ! (deg min),31,Hecate bay,22,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0032,49  14.9700 N  ! (deg min),125  52.5360 W  ! (deg min),32,Cypress bay ,46,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0033,49  21.1440 N  ! (deg min),125  47.3280 W  ! (deg min),33,Bedwell head ,71,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0034,49  20.1420 N  ! (deg min),125  48.2820 W  ! (deg min),34,Bedwell 1,66,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0035,49  17.8620 N  ! (deg min),125  48.6540 W  ! (deg min),35,Bedwell 2,54,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0037,49  16.2000 N  ! (deg min),125  49.2900 W  ! (deg min),37,Bedwell mouth ,55,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0038,49  14.2680 N  ! (deg min),125  45.4560 W  ! (deg min),38,Warn bay,137,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0040,49  11.1420 N  ! (deg min),125  45.7680 W  ! (deg min),40,Fortune channel ,74,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0041,49  8.0820 N  ! (deg min),125  42.9960 W  ! (deg min),41,Tofino 6,54,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0042,49  7.5480 N  ! (deg min),125  45.8460 W  ! (deg min),42,Tofino 7,40,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0043,49  7.1580 N  ! (deg min),125  47.8320 W  ! (deg min),43,Tofino Browning passage 1,39,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0044,49  7.7640 N  ! (deg min),125  50.7540 W  ! (deg min),44,Tofino Browning passage 2,15,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0045,49  8.4960 N  ! (deg min),125  52.5480 W  ! (deg min),45,Tofino Browning passage 3,11,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0046,49  13.6680 N  ! (deg min),125  35.8860 W  ! (deg min),46,Tofino head 1,44,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0047,49  12.5160 N  ! (deg min),125  36.6180 W  ! (deg min),47,Tofino 1,89,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0048,49  11.7420 N  ! (deg min),125  38.9340 W  ! (deg min),48,Tofino  2,116,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0050,49  10.9080 N  ! (deg min),125  38.8560 W  ! (deg min),50,Tofino 3,102,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0051,49  9.6780 N  ! (deg min),125  39.8820 W  ! (deg min),51,Tofino 4,78,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0052,49  11.7840 N  ! (deg min),125  40.4820 W  ! (deg min),52,Tranquil head ,46,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0053,49  9.9240 N  ! (deg min),125  41.4180 W  ! (deg min),53,Tranquil mouth ,65,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0054,49  9.0480 N  ! (deg min),125  41.5800 W  ! (deg min),54,Tofino 5,62,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0055,49  8.0640 N  ! (deg min),125  42.9840 W  ! (deg min),55,Tofino 6,54,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0056,49  7.5420 N  ! (deg min),125  45.8520 W  ! (deg min),56,Tofino 7,41,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
